ano,data,plataforma,funil,campanha,impressoes,cliques,custo
2024,2024-11-01,Google Ads,Fundo,gads_bot_blackfriday_search_50off,18551,252,622.91
2024,2024-11-01,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,47170,1614,2119.96
2024,2024-11-01,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,33544,930,2712.09
2024,2024-11-02,Google Ads,Fundo,gads_bot_blackfriday_search_50off,18574,1036,2118.65
2024,2024-11-02,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,8796,299,389.81
2024,2024-11-02,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,49410,1423,2878.25
2024,2024-11-03,Google Ads,Fundo,gads_bot_blackfriday_search_50off,46710,2603,7394.91
2024,2024-11-03,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,10109,264,754.73
2024,2024-11-03,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,37530,2113,5948.51
2024,2024-11-04,Google Ads,Fundo,gads_bot_blackfriday_search_50off,10706,664,1407.86
2024,2024-11-04,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,20690,1110,4583.9
2024,2024-11-04,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,18955,1052,3278.31
2024,2024-11-05,Google Ads,Fundo,gads_bot_blackfriday_search_50off,35872,2001,8764.27
2024,2024-11-05,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,9541,275,770.39
2024,2024-11-05,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,36464,1186,4049.92
2024,2024-11-06,Google Ads,Fundo,gads_bot_blackfriday_search_50off,21855,978,3739.98
2024,2024-11-06,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,32339,1580,2317.67
2024,2024-11-06,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,37520,1259,2550.48
2024,2024-11-07,Google Ads,Fundo,gads_bot_blackfriday_search_50off,52737,3037,10431.05
2024,2024-11-07,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,38895,811,2716.77
2024,2024-11-07,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,29757,809,1074.82
2024,2024-11-08,Google Ads,Fundo,gads_bot_blackfriday_search_50off,30807,564,2446.07
2024,2024-11-08,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,14772,261,790.1
2024,2024-11-08,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,54734,2710,7673.6
2024,2024-11-09,Google Ads,Fundo,gads_bot_blackfriday_search_50off,58656,2878,9921.7
2024,2024-11-09,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,31124,1628,2018.9
2024,2024-11-09,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,40350,1130,4783.38
2024,2024-11-10,Google Ads,Fundo,gads_bot_blackfriday_search_50off,54419,2306,9438.42
2024,2024-11-10,Google Ads,Fundo,gads_bot_blackfriday_search_fretefree,44214,700,3120.61
2024,2024-11-10,Google Ads,Fundo,gads_bot_blackfriday_pmax_geral,31755,1039,1440.09
