ano,data,plataforma,funil,campanha,impressoes,cliques,custo
2024,2024-11-01,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,84213,1973,2632.42
2024,2024-11-01,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,37401,650,1002.44
2024,2024-11-01,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,71704,1701,2260.72
2024,2024-11-02,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,27166,267,197.32
2024,2024-11-02,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,31272,823,800.93
2024,2024-11-02,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,94665,2327,2465.49
2024,2024-11-03,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,48248,745,1216.49
2024,2024-11-03,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,68987,1598,1188.65
2024,2024-11-03,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,75026,2509,3622.05
2024,2024-11-04,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,99634,1617,2310.9
2024,2024-11-04,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,103404,3219,2739.0
2024,2024-11-04,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,49767,740,902.77
2024,2024-11-05,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,89946,3071,3443.43
2024,2024-11-05,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,58542,1273,1192.71
2024,2024-11-05,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,85120,3007,4992.2
2024,2024-11-06,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,103522,1518,2478.11
2024,2024-11-06,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,84613,2624,3218.84
2024,2024-11-06,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,67286,1725,2134.9
2024,2024-11-07,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,65040,821,663.24
2024,2024-11-07,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,50804,520,474.8
2024,2024-11-07,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,48038,1613,2291.68
2024,2024-11-08,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,99725,1999,2016.92
2024,2024-11-08,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,67426,1339,1615.24
2024,2024-11-08,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,30184,572,350.64
2024,2024-11-09,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,42243,1361,2299.05
2024,2024-11-09,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,109286,2094,2206.21
2024,2024-11-09,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,52181,1675,1027.82
2024,2024-11-10,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,39291,592,769.83
2024,2024-11-10,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,35302,1253,1217.21
2024,2024-11-10,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,62519,1055,1823.71
2024,2024-11-11,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,44881,996,965.46
2024,2024-11-11,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,98818,2402,1827.49
2024,2024-11-11,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,45575,1327,1135.32
2024,2024-11-12,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,63478,1698,1102.07
2024,2024-11-12,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,113633,1941,1445.59
2024,2024-11-12,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,48148,729,1041.36
2024,2024-11-13,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,37582,1222,1890.44
2024,2024-11-13,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,58540,1366,1781.05
2024,2024-11-13,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,101725,1939,2577.06
2024,2024-11-14,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,135206,3896,6694.95
2024,2024-11-14,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,79805,921,622.64
2024,2024-11-14,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,72487,1288,1826.13
2024,2024-11-15,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,43726,724,906.64
2024,2024-11-15,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,125946,3131,4237.02
2024,2024-11-15,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,130445,1743,2695.23
2024,2024-11-16,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,128062,4073,5900.5
2024,2024-11-16,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,63279,1576,2338.36
2024,2024-11-16,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,104978,3538,6304.04
2024,2024-11-17,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,57537,1380,1175.6
2024,2024-11-17,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,132488,2025,2362.12
2024,2024-11-17,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,127957,1511,1633.26
2024,2024-11-18,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,41464,515,421.13
2024,2024-11-18,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,89880,1863,1966.64
2024,2024-11-18,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,52161,936,1528.75
2024,2024-11-19,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,69065,1735,1406.12
2024,2024-11-19,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,50043,1025,672.77
2024,2024-11-19,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,103080,1286,1372.36
2024,2024-11-20,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,92346,2581,4516.25
2024,2024-11-20,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,116340,3007,5063.9
2024,2024-11-20,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,122923,3287,2146.41
2024,2024-11-21,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,112583,1209,2087.8
2024,2024-11-21,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,146042,5058,5474.36
2024,2024-11-21,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,53444,1308,928.73
2024,2024-11-22,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,70764,2381,3228.0
2024,2024-11-22,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,92573,3046,4371.69
2024,2024-11-22,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,72415,1571,1008.33
2024,2024-11-23,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,153203,5011,4144.43
2024,2024-11-23,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,96888,3267,1980.37
2024,2024-11-23,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,129651,3629,5801.18
2024,2024-11-24,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,159602,3040,3180.45
2024,2024-11-24,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,72999,2007,3605.67
2024,2024-11-24,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,146025,3041,4355.99
2024,2024-11-25,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,60127,1845,1384.16
2024,2024-11-25,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,102935,2115,1431.96
2024,2024-11-25,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,107228,2375,2749.11
2024,2024-11-26,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,103205,1174,1466.98
2024,2024-11-26,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,153161,4888,4923.88
2024,2024-11-26,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,162820,5257,6007.6
2024,2024-11-27,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,132581,1418,1867.89
2024,2024-11-27,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,99467,1674,1427.58
2024,2024-11-27,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,165676,4389,6403.51
2024,2024-11-28,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,155535,2548,3380.29
2024,2024-11-28,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,134234,3101,3937.55
2024,2024-11-28,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,69648,2407,1593.52
2024,2024-11-29,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,157366,1600,2620.05
2024,2024-11-29,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,166048,2118,3372.29
2024,2024-11-29,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,145733,3598,4770.75
2024,2024-11-30,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,165176,1764,1902.63
2024,2024-11-30,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,81377,1904,2999.91
2024,2024-11-30,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,80583,2711,1651.2
2025,2025-11-01,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,34071,410,499.47
2025,2025-11-01,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,61074,961,1545.13
2025,2025-11-01,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,74781,1373,1276.57
2025,2025-11-02,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,53714,604,501.47
2025,2025-11-02,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,64591,1038,1269.34
2025,2025-11-02,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,76095,2261,3744.43
2025,2025-11-03,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,29577,360,346.95
2025,2025-11-03,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,88467,1080,1227.57
2025,2025-11-03,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,74120,1784,1516.78
2025,2025-11-04,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,94571,3261,3937.23
2025,2025-11-04,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,66443,879,1180.94
2025,2025-11-04,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,81515,910,609.51
2025,2025-11-05,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,98636,1499,2654.8
2025,2025-11-05,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,64245,2236,2811.88
2025,2025-11-05,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,50331,1109,1646.67
2025,2025-11-06,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,64160,1459,2525.21
2025,2025-11-06,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,79563,1502,2398.16
2025,2025-11-06,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,32490,648,1087.79
2025,2025-11-07,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,91703,1517,1312.62
2025,2025-11-07,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,110108,3070,5469.52
2025,2025-11-07,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,99273,1321,2322.52
2025,2025-11-08,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,60617,805,1445.46
2025,2025-11-08,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,37675,951,727.88
2025,2025-11-08,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,117339,1193,954.71
2025,2025-11-09,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,102935,2911,4331.52
2025,2025-11-09,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,113213,3842,5006.02
2025,2025-11-09,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,61040,1360,1239.17
2025,2025-11-10,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,46147,909,569.2
2025,2025-11-10,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,90133,1217,1939.22
2025,2025-11-10,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,93909,2237,3288.81
2025,2025-11-11,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,47153,520,473.38
2025,2025-11-11,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,99672,1766,2923.61
2025,2025-11-11,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,83162,1861,1177.27
2025,2025-11-12,Meta Ads,Meio,meta_ads_mid_blackfriday_retargeting,84095,998,1099.11
2025,2025-11-12,Meta Ads,Meio,meta_ads_mid_blackfriday_engajamento,84856,1228,975.87
2025,2025-11-12,Meta Ads,Meio,meta_ads_mid_blackfriday_catalogo,41511,476,405.41
